"Gene","lb","log.FC.mle","ub","ce","Z","cZ","pvalue","p.adjust"
"ART3",3.00422696497124,3.93145750971546,4.48779583656196,3.00422696497124,4.13536776548309,3.04512824120213,3.54386635267653e-05,0.00232581115275659
"LINC00639",3.33802996107916,5.08122338519825,5.56338326846525,3.33802996107916,4.13397851036075,3.0436570083282,3.56536827084442e-05,0.00233721444588063
"USP51",3.07840540855077,3.96854673150521,4.45070661477221,3.07840540855077,4.13223910748,3.04197136654042,3.5924642083448e-05,0.00235034250935373
"MRVI1",3.96854673150521,5.34084793772663,5.78591859920387,3.96854673150521,4.13189883900856,3.04197136654042,3.59778763305611e-05,0.00235034250935373
"DDO",0.593427548636292,3.15258385213031,3.63474373539729,0.593427548636292,4.13171536600031,3.04197136654042,3.60066113493365e-05,0.00235034250935373
"MYLK4",2.1140856420168,3.07840540855077,3.70892217897683,2.1140856420168,4.13163031696694,3.04197136654042,3.60199388770619e-05,0.00235034250935373
"TMEM212",1.37230120622143,2.67042396886332,3.41220840465867,1.37230120622143,4.13016134464199,3.04039389503025,3.62508732394978e-05,0.0023626892503322
"MTMR9LP",2.41079941633494,3.15258385213031,3.70892217897683,2.41079941633494,4.12666614930786,3.03616102381848,3.68060111678734e-05,0.00239611363278852
"RP11-143A12.3",2.55915630349402,3.67183295718708,4.19108206224383,2.55915630349402,4.12632237035194,3.03605687929139,3.68610470540221e-05,0.00239694142714777
"AC123768.4",2.1140856420168,2.96713774318147,3.59765451360754,2.1140856420168,4.12235290172877,3.0315461712687,3.75022086250582e-05,0.00243304706999547
"VAMP5",2.3366209727554,3.30094073928938,3.82018984434613,2.3366209727554,4.12196568117973,3.03138418175792,3.75653174009539e-05,0.00243435291413641
"GSTM5",2.8187808560224,3.63474373539729,4.22817128403359,2.8187808560224,4.11951143682993,3.02851190249023,3.79676580009258e-05,0.00245761395869307
"PDE4C",2.59624552528378,3.523476070028,4.11690361866429,2.59624552528378,4.11820624189901,3.0280442659782,3.81832900915273e-05,0.0024614202905361
"WDFY3-AS2",3.59765451360754,4.37652817119267,4.89577727624942,3.59765451360754,4.11819706917675,3.0280442659782,3.8184809628395e-05,0.0024614202905361
"RAPGEF3",1.92863953306795,2.9300485213917,3.56056529181775,1.92863953306795,4.11810359754847,3.0280442659782,3.82002972453341e-05,0.0024614202905361
"ALOX5AP",3.15258385213031,3.96854673150521,4.52488505835175,3.15258385213031,4.11665042255292,3.02682604983089,3.84418468132665e-05,0.00247136131646968
"GRID2",0.853052101164671,1.59483653696004,2.29953175096563,0.853052101164671,4.11540611065216,3.02553764499385,3.86498302769471e-05,0.00248191506488178
"F11-AS1",3.44929762644846,5.37793715951642,5.78591859920387,3.44929762644846,4.11120488380878,3.02039318537627,3.93599733380286e-05,0.00252446733830864
"AIF1L",3.041316186761,3.85727906613592,4.37652817119267,3.041316186761,4.11096072186359,3.02039318537627,3.94016230633999e-05,0.00252446733830864
"RAB20",1.96572875485772,3.11549463034054,3.85727906613592,1.96572875485772,4.10894756078099,3.01809463812514,3.97466306930265e-05,0.00254369454145949
"CDH5",0.890141322954441,2.26244252917587,2.96713774318147,0.890141322954441,4.10671388224512,3.01550599989648,4.01327844719696e-05,0.00256550863083907
"CSF3R",1.4093904280112,2.67042396886332,3.37511918286892,1.4093904280112,4.10614971589791,3.01510773441064,4.02308780819244e-05,0.00256887990169563
"RP11-2E17.1",2.74460241244285,5.45211560309596,5.86009704278341,2.74460241244285,4.10512134565399,3.01432672092223,4.04102701275488e-05,0.00257550285435733
"KCNIP1",0.853052101164671,1.66901498053958,3.523476070028,0.853052101164671,4.10488700625632,3.01432672092223,4.04512550724703e-05,0.00257550285435733
"NUDT6",3.30094073928938,4.26526050582337,4.85868805445967,3.30094073928938,4.10477408606921,3.01432672092223,4.04710184042167e-05,0.00257550285435733
"KCNMA1",0.778873657585137,1.78028264590888,2.78169163423263,0.778873657585137,4.1032492100961,3.01299900261644,4.07388016888917e-05,0.00258679767767423
"LINC00500",3.26385151749961,3.96854673150521,4.45070661477221,3.26385151749961,4.1032432688655,3.01299900261644,4.07398483082985e-05,0.00258679767767423
