"Gene" "lb" "log.FC.mle" "ub" "ce" "Z" "cZ" "pvalue" "p.adjust"
"NSUN3" 5.04148396868883 5.67166946477492 6.0423668154138 5.04148396868883 4.06234181985071 2.54872843929619 4.85828672627359e-05 0.0108116452296642
"ZNF493" 4.37422873753884 5.04148396868883 5.44925105439161 4.37422873753884 4.0617485305321 2.54872843929619 4.87065278756753e-05 0.0108116452296642
"GSTT1" 4.41129847260271 5.04148396868883 5.41218131932771 4.41129847260271 4.06127640335548 2.54872843929619 4.88051475424545e-05 0.0108116452296642
"CEP78" 5.56046025958327 6.33892469592491 6.70962204656379 5.56046025958327 4.06097636650111 2.54872843929619 4.88679186905264e-05 0.0108116452296642
"BZRAP1" 4.33715900247495 5.04148396868883 5.44925105439161 4.33715900247495 4.05727604557815 2.54455916744516 4.96483875245934e-05 0.0109415773253616
"LZTS3" 4.85613529336938 5.48632078945547 5.85701814009438 4.85613529336938 4.05086564469654 2.53768336682737 5.10285026989756e-05 0.0111588893276625
"AIFM1" 4.33715900247495 5.00441423362494 5.41218131932771 4.33715900247495 4.04953781034754 2.53731684068433 5.1318886246334e-05 0.0111705803957617
"PLGRKT" 4.33715900247495 5.00441423362494 5.41218131932771 4.33715900247495 4.04765862635248 2.53731684068433 5.17325218246525e-05 0.0111705803957617
"PRKCQ" 4.96734449856104 5.67166946477492 6.0423668154138 4.96734449856104 4.04717306327543 2.53731684068433 5.18399138328942e-05 0.0111705803957617
"CACNG2" 5.37511158426381 6.0423668154138 6.45013390111657 5.37511158426381 4.04659646222417 2.53731684068433 5.19677151191222e-05 0.0111705803957617
"PLBD2" 4.33715900247495 4.96734449856104 5.41218131932771 4.33715900247495 4.04614448326605 2.53731684068433 5.20681031194796e-05 0.0111705803957617
"RP5-1043L13.1" 4.81906555830548 5.52339052451937 5.96822734528604 4.81906555830548 4.04511985424473 2.53710906439849 5.22963620561648e-05 0.011177212657121
"LINC01057" 4.30008926741105 4.96734449856104 5.41218131932771 4.30008926741105 4.03946083367807 2.53093242407985 5.35742128704548e-05 0.0113759763137591
"NEU3" 4.30008926741105 4.96734449856104 5.37511158426381 4.30008926741105 4.03794721361244 2.53093242407985 5.3920982180995e-05 0.0113759763137591
"SNCAIP" 6.1165062855416 6.78376151669158 7.15445886733046 6.1165062855416 4.02484511898215 2.5197240067194 5.70128259599619e-05 0.0117446883028216
"KCND2" 1.37158019736387 8.89673641533321 9.19329429584432 1.37158019736387 4.02046768483479 2.51522640160997 5.80827166937951e-05 0.0118955966651531
"MRPL44" 4.26301953234715 4.93027476349714 5.30097211413605 4.26301953234715 4.02008192497272 2.51522640160997 5.81779066394896e-05 0.0118955966651531
"TRAF6" 4.22594979728329 4.93027476349714 5.37511158426381 4.22594979728329 4.01906745208789 2.51497888217916 5.84289432204112e-05 0.0119039513889124
"ZNF268" 4.67078661804992 5.48632078945547 6.15357602060546 4.67078661804992 4.01655329597991 2.51324372892898 5.9055513092874e-05 0.0119626656416383
"IQSEC2" 4.96734449856104 5.63459972971103 5.96822734528604 4.96734449856104 4.01419957392464 2.51324372892898 5.96478624952954e-05 0.0119626656416383
"MMD2" 4.89320502843328 5.56046025958327 5.96822734528604 4.89320502843328 4.01266542439225 2.51293470861003 6.00369781651291e-05 0.0119731491877345
"SLC16A10" 4.93027476349714 5.63459972971103 6.00529708034994 4.93027476349714 4.01143261125895 2.51233186839803 6.03514046067277e-05 0.0119936240495293
"SPIN3" 4.22594979728329 4.89320502843328 5.26390237907215 4.22594979728329 4.00899060629648 2.50991733166385 6.09788419326386e-05 0.0120759428300027
"AC116050.1" 4.18888006221939 4.89320502843328 5.30097211413605 4.18888006221939 4.00717528206605 2.50843577976526 6.14492595845647e-05 0.0121267009210822
"TMSB15A" 4.22594979728329 4.85613529336938 5.30097211413605 4.22594979728329 4.00448205551997 2.50740901510533 6.21535086116885e-05 0.0121619888001102
"EMB" 4.22594979728329 4.85613529336938 5.26390237907215 4.22594979728329 4.00424060030333 2.50740901510533 6.22170183439539e-05 0.0121619888001102
"IKZF2" 5.0785537037527 5.85701814009438 6.26478522579715 5.0785537037527 4.00403073598373 2.50740901510533 6.22722686541185e-05 0.0121619888001102
"FSIP2" 4.93027476349714 5.59752999464716 5.96822734528604 4.93027476349714 4.00189805107386 2.50543787166812 6.28363744366531e-05 0.0122299882314198
"MBL1P" 4.11474059209159 4.85613529336938 5.37511158426381 4.11474059209159 3.99736185631726 2.50041968340308 6.40523484374965e-05 0.0124046256940136
"ELMOD2" 4.15181032715549 4.81906555830548 5.30097211413605 4.15181032715549 3.99654747834209 2.50041968340308 6.42729957674945e-05 0.0124046256940136
"CEP250" 4.18888006221939 4.85613529336938 5.26390237907215 4.18888006221939 3.99611416372724 2.50041968340308 6.43906909502452e-05 0.0124046256940136
