"lb" "log.FC.mle" "ub" "ce" "Z" "cZ" "pvalue" "p.adjust"
2.48047342446863 3.44304520112809 7.03417836789612 2.48047342446863 7.13989829566887 6.29554099276745 9.34000000076362e-13 3.06329590481597e-10
3.51708918394806 5.29414477162709 7.73759620468572 3.51708918394806 7.13989829566492 6.29554099276745 9.3400000010317e-13 3.06329590481597e-10
2.14727550177882 2.96175931279837 3.96135308086782 2.14727550177882 7.13989829562812 6.29554099276745 9.34000000353205e-13 3.06329590481597e-10
2.03620952754887 2.81367134715845 3.92433108945784 2.03620952754887 7.13989829406537 6.29554099276745 9.34000010971803e-13 3.06329590481597e-10
2.59153939869857 3.48006719253807 8.36697005865538 2.59153939869857 7.13989829268034 6.29554099276745 9.34000020382758e-13 3.06329590481597e-10
2.36940745023869 3.2579352440782 6.14565057405663 2.36940745023869 7.13989828576845 6.29554099276745 9.34000067347625e-13 3.06329590481597e-10
2.1842974931888 3.10984727843829 4.47966096060753 2.1842974931888 7.1398982747687 6.29554099276745 9.34000142088588e-13 3.06329590481597e-10
2.1842974931888 3.03580329561833 4.40561697778756 2.1842974931888 7.13989827236491 6.29554099276745 9.34000158421805e-13 3.06329590481597e-10
2.33238545882871 3.18389126125824 4.77583689188738 2.33238545882871 7.1398982640278 6.29554099276745 9.3400021507072e-13 3.06329590481597e-10
4.07241905509775 9.07038789544501 9.47762980095479 4.07241905509775 7.13989816179642 6.29554099276745 9.34000909711726e-13 3.06329590481597e-10
2.81367134715845 4.07241905509775 7.07120035930611 2.81367134715845 7.13989812076845 6.29554099276745 9.34001188488422e-13 3.06329590481597e-10
2.1842974931888 3.03580329561833 4.25752901214765 2.1842974931888 7.13989777103814 6.29554099276745 9.3400356483785e-13 3.06329590481597e-10
2.14727550177882 2.99878130420835 7.47844226481589 2.14727550177882 7.13989755578132 6.29554099276745 9.34005027469077e-13 3.06329590481597e-10
2.1842974931888 2.99878130420835 4.44263896919754 2.1842974931888 7.13989753493063 6.29554099276745 9.34005169145878e-13 3.06329590481597e-10
2.1842974931888 3.07282528702831 4.62774892624744 2.1842974931888 7.13989340769575 6.29554099276745 9.34033213399645e-13 3.06329590481597e-10
2.29536346741873 3.29495723548819 5.92351862559674 2.29536346741873 7.13989170274346 6.29554099276745 9.34044798664718e-13 3.06329590481597e-10
2.29536346741873 3.29495723548819 6.07160659123666 2.29536346741873 7.13987928582537 6.29554099276745 9.34129176709342e-13 3.06329590481597e-10
2.22131948459878 3.10984727843829 4.40561697778756 2.22131948459878 7.13986756338198 6.29554099276745 9.34208842378838e-13 3.06329590481597e-10
2.11025351036884 3.07282528702831 6.51587048815642 2.11025351036884 7.13986208077958 6.29554099276745 9.34246104407255e-13 3.06329590481597e-10
2.44345143305865 3.55411117535805 7.99675014455559 2.44345143305865 7.13986167027032 6.29554099276745 9.3424889445632e-13 3.06329590481597e-10
2.03620952754887 2.92473732138839 7.18226633353603 2.03620952754887 7.1398507155838 6.29554099276745 9.34323351613829e-13 3.06329590481597e-10
2.11025351036884 3.03580329561833 6.88609040225621 2.11025351036884 7.13959656312006 6.29554099276745 9.36052418919653e-13 3.06329590481597e-10
2.03620952754887 2.99878130420835 4.99796884034723 2.03620952754887 7.13957391821548 6.29554099276745 9.36206630556343e-13 3.06329590481597e-10
2.11025351036884 3.07282528702831 4.51668295201751 2.11025351036884 7.13956179790732 6.29554099276745 9.36289180011465e-13 3.06329590481597e-10
