gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CCND3,0.800460588712154,-0.478941714093607,0.25,0.273,1
AMZ2P1,0.053433206103426,-0.479383856924645,0.346,0.488,1
RPL31,0.068791195988078,-0.479510600158112,0.827,0.901,1
ZNF608,0.246687572763587,-0.480212969283192,0.615,0.669,1
HERC1,0.001634348072234,-0.480606398756134,0.75,0.86,1
ORC3,0.298366398264757,-0.480816067891565,0.462,0.523,1
NDUFS8,0.079334989155783,-0.481129156541908,0.346,0.509,1
SLC25A11,0.078609551571486,-0.481200396358371,0.231,0.358,1
RASA1,0.034539750613801,-0.481593238010094,0.692,0.843,1
RBX1,0.117911994160636,-0.481614871097764,0.769,0.77,1
CMTM6,0.251557071059939,-0.481812337511654,0.423,0.311,1
CLCN6,0.002629171728179,-0.482277834139734,0.231,0.477,1
ZBTB8A,0.585217325232711,-0.482466404678356,0.212,0.253,1
ARHGAP32,0.028103972431937,-0.482940184508802,0.442,0.622,1
PDE7B,0.270428838791978,-0.483628329067944,0.385,0.291,1
NUP54,0.238265888735895,-0.483952636350545,0.327,0.416,1
NEDD4L,0.001710173933522,-0.484446012443786,0.5,0.747,1
B3GAT3,0.019706874091428,-0.484753636371924,0.154,0.311,1
CTH,0.543282709826926,-0.485088059004856,0.308,0.346,1
VEZT,0.048510833626173,-0.485564199804994,0.654,0.767,1
BAIAP2,0.257373073308901,-0.485996049920135,0.212,0.285,1
ACADM,0.010494233864601,-0.486111379990151,0.481,0.651,1
SLC15A4,0.633409879605838,-0.486644165756366,0.327,0.337,1
STRBP,0.045281584501329,-0.486774253604429,0.481,0.683,1
UBAC2,0.830236562267099,-0.486811966152152,0.308,0.305,1
B4GALT3,0.433870215350939,-0.487154457257316,0.269,0.297,1
PIGT,0.493571416559265,-0.488023625108908,0.404,0.462,1
EXOSC9,0.716599979165048,-0.488212038864147,0.308,0.355,1
PPP1R13B,0.785750687152306,-0.488247068565689,0.365,0.387,1
PPIAP22,0.080510473841689,-0.488368606778012,0.673,0.794,1
EIF3K,0.346467047449275,-0.488471217270763,0.538,0.578,1
LRCH2,0.45724346035052,-0.488566583299596,0.385,0.401,1
SLF2,0.130273679161355,-0.488767330914976,0.481,0.622,1
PDCD5,0.484860556938984,-0.489111316833716,0.596,0.645,1
LMBRD2,0.000460644296568,-0.489747030514001,0.231,0.48,1
MT.TA,0.013926340668358,-0.490270146314233,0.327,0.523,1
SNRNP200,0.577384929628726,-0.490397494523926,0.731,0.701,1
TAF12,0.170984473564242,-0.491238064101793,0.25,0.355,1
WIPF3,0.026927999557567,-0.491421557617224,0.327,0.503,1
AC046176.1,0.021712372470628,-0.491698345253707,0.192,0.363,1
NIM1K,0.463351014967851,-0.492047788492406,0.269,0.221,1
CNPY2,0.047616728418003,-0.492079993783128,0.25,0.427,1
POLR2H,0.297593583414542,-0.49245295326962,0.288,0.355,1
DPH6,0.698148964722014,-0.492676968824502,0.346,0.363,1
ADH5,0.888337275371886,-0.492785744233015,0.5,0.474,1
MT.ND4L,0.002184576723163,-0.492875712423305,0.981,0.991,1
