"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"A2ML1",3.25986315228279e-17,4.22989557604673,0.5,0.086,6.0150994885922e-13
"SPARCL1",2.81426440376559e-34,4.22972834461111,1,0.538,5.19288067782828e-30
"GPC5.AS2",5.28675253724956e-23,4.22508274958844,0.397,0.024,9.75511578173288e-19
"ADA",3.65972146060929e-09,4.20240789524082,0.276,0.05,6.75291803911626e-05
"DIO2",4.22762218017979e-43,4.19967841661505,0.983,0.189,7.80080844686774e-39
"MERTK",8.07667806514439e-44,4.19621586515721,0.948,0.136,1.49030863658044e-39
"YAP1",2.91182572733939e-34,4.18118240651344,0.724,0.08,5.37290083208665e-30
"ATP1B2",7.66915801624219e-34,4.18008539977825,1,0.704,1.41511303715701e-29
"PREX2",1.16366534880377e-34,4.1713133665487,1,0.379,2.14719530161271e-30
"S1PR1",3.81793307971063e-46,4.16756106569603,0.879,0.083,7.04485011868206e-42
"VAC14.AS1",1.2969368720401e-22,4.16292208516629,0.483,0.05,2.39310791628839e-18
"STON2",3.26243690987158e-36,4.15789436142333,0.948,0.234,6.01984858609504e-32
"ANGPTL4",8.75742878667995e-23,4.14376952530246,0.517,0.062,1.61592075971818e-18
"NQO1",1.93270113201977e-26,4.11930759505528,0.741,0.136,3.56622012880287e-22
"GRIN2C",5.62541933725991e-29,4.11283273264344,0.586,0.059,1.0380023761112e-24
"GRAMD1C",2.53424972646662e-38,4.10942927255095,0.914,0.139,4.67619759527621e-34
"PHKA1",3.46432542725642e-26,4.10649801987331,0.621,0.08,6.39237327837354e-22
"PPP1R1B",6.35881010259467e-31,4.10524263921375,0.724,0.107,1.17332764013077e-26
"MT1E",5.3840131854765e-45,4.09493092923071,0.966,0.157,9.93458112984123e-41
"ABCC9",4.87958056028597e-34,4.06197125128772,0.776,0.112,9.00380204983967e-30
"CARMIL1",9.97776285793471e-36,4.04992077443052,1,0.435,1.84109680254611e-31
"CACHD1",5.1919819192407e-22,4.04417671417991,0.759,0.189,9.58024503738293e-18
"ADORA2B",9.01744443539567e-26,4.03581637119574,0.621,0.08,1.66389884721921e-21
"THSD1",1.01516306077751e-32,4.00895019998253,0.672,0.068,1.87317887974666e-28
"ARHGAP31",2.96554036992591e-13,4.00175344306126,0.431,0.089,5.47201509058728e-09
"SPON1",8.74607980370134e-32,3.96625605801067,0.828,0.142,1.61382664537897e-27
"SLC15A2",8.27035749749382e-41,3.9569428485761,0.948,0.166,1.52604636543756e-36
"RND1",1.16851228753764e-14,3.95692326901697,0.586,0.157,2.15613887296444e-10
"BBOX1",6.40776218035e-35,3.93158022106158,0.655,0.053,1.18236027751818e-30
"SYTL4",2.65880601039466e-25,3.9291944090543,0.586,0.077,4.90602885038022e-21
"PBXIP1",6.56350415119876e-45,3.92760316383249,0.914,0.107,1.2110977859792e-40
"ENSG00000286746.1",0.000860928431633189,3.92630293018648,0.328,0.148,1
"CABLES1",4.35864630278887e-37,3.91765533372385,0.879,0.151,8.04257415790603e-33
"DNAH7",9.27255220253378e-31,3.91649666658678,0.931,0.243,1.71097133241153e-26
"MT1X",1.19233408406946e-34,3.91025887925451,0.931,0.246,2.20009485192496e-30
"HIF3A",1.12848458080798e-32,3.90710792707982,0.948,0.272,2.08227974850688e-28
"AMOT",2.74777964323694e-18,3.90591372808517,0.5,0.077,5.0702029977008e-14
"ACACB",8.31300236793911e-31,3.90373937509071,0.879,0.192,1.53391519693212e-26
"WFS1",2.36208079874925e-26,3.89611396959191,0.707,0.115,4.35851148985211e-22
