"p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"58","2.32285228892664e-28","2.23895569891247","0.983","0.923","1.43057503918125e-23"
"59","2.50264440548311e-28","-3.94645052382915","0.026","0.669","1.54130361000489e-23"
"60","2.71471274742244e-28","-2.7180382238245","0.25","0.843","1.67191013975506e-23"
"61","2.91664233082594e-28","2.11783714613518","0.948","0.706","1.79627251228577e-23"
"62","4.79677531426356e-28","-3.03230415446714","0.19","0.809","2.9541900127955e-23"
"63","6.92852625109429e-28","-7.55850805068982","0.233","0.829","4.26707146226144e-23"
"64","7.9336696061744e-28","1.56879843121151","0.991","0.82","4.88610910035463e-23"
"65","8.74381970681302e-28","2.72410073390499","0.897","0.537","5.38505624283493e-23"
"66","9.64084872414041e-28","2.85103813818098","0.853","0.397","5.93750950373635e-23"
"67","1.6358957179014e-27","-4.20756701830134","0.129","0.734","1.00749909578393e-22"
"68","1.64323539311345e-27","-4.74972201814766","0.069","0.689","1.01201938155678e-22"
"69","3.10107883284627e-27","1.5952558130727","0.983","0.854","1.90986142078503e-22"
"70","3.15819694684957e-27","1.55707804287389","0.991","0.86","1.94503875365625e-22"
"71","4.66147066360058e-27","-3.06330710042747","0.448","0.917","2.87085993759169e-22"
"72","4.99705403692864e-27","1.58851131278927","1","0.854","3.07753566972324e-22"
"73","5.04303480655763e-27","4.01226298128957","0.543","0.097","3.10585384631465e-22"
"74","7.72836132377273e-27","4.86977544625416","0.5","0.08","4.75966588847191e-22"
"75","1.1539115242395e-26","1.580535754231","0.716","0.251","7.1065949043338e-22"
"76","1.34977119900548e-26","-3.40330566032307","0.112","0.729","8.31283588331502e-22"
"77","1.96148977856449e-26","-4.61503776366628","0.147","0.717","1.20802270992451e-21"
"78","2.09959566543329e-26","4.14400856063129","0.672","0.191","1.2930779824704e-21"
"79","2.7384398212056e-26","-3.04924566736774","0.276","0.849","1.68652293268589e-21"
"80","3.09847914885174e-26","2.32068799139143","0.828","0.374","1.90826035340332e-21"
"81","3.70714447205538e-26","1.79933444043646","0.931","0.734","2.28311906600474e-21"
"82","3.84403719841886e-26","-6.77040444178596","0.241","0.763","2.36742718939022e-21"
"83","3.95086934870699e-26","-5.40819087296818","0.086","0.666","2.43322190578817e-21"
"84","4.19606566020743e-26","-2.37444589131796","0.353","0.903","2.58423095815195e-21"
"85","5.6621279865581e-26","-3.80200900549164","0.086","0.7","3.48713476308153e-21"
