"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
"159","1.5970148830799e-31","3.84844533087135","0.685","0.115","9.83553556042418e-27","CYP2J2"
"160","2.79478655594052e-31","3.00716819777089","0.74","0.135","1.72122519620709e-26","STOX1"
"161","5.44592132826264e-31","3.34176145827821","0.918","0.272","3.35397956843711e-26","DNAH7"
"162","6.50855693628931e-31","-0.250035909150624","0.562","0.056","4.0084249603525e-26","GLULP4"
"163","9.06637751085135e-31","3.05925153856376","0.753","0.14","5.58370991760802e-26","BDH2"
"164","1.09588741193388e-30","6.07439952260622","0.452","0.028","6.74924180387718e-26","AC027117.1"
"165","1.11148229649887e-30","3.14830434829751","0.849","0.219","6.84528601944758e-26","TNS3"
"166","1.16652576188489e-30","2.4764953360211","0.959","0.412","7.1842822097205e-26","ITPR2"
"167","1.16796535700599e-30","3.8582814668985","0.685","0.127","7.19314824419282e-26","FAS"
"168","1.18943342549574e-30","2.92293679763096","0.932","0.282","7.32536363760059e-26","KCNN3"
"169","1.37680201169633e-30","2.29800099393009","0.932","0.29","8.4793105494342e-26","PLXNB1"
"170","1.87562061882484e-30","2.01995912710842","1","0.931","1.15513847051565e-25","DST"
"171","1.91325844286068e-30","3.84828139368493","0.685","0.122","1.1783184772046e-25","PPP1R1B"
"172","1.98650612463202e-30","2.45965771273863","1","0.72","1.22342952697712e-25","NTRK2"
"173","2.527654638613e-30","5.49886378996938","0.438","0.025","1.55670666228259e-25","AC023538.1"
"174","2.91180668469825e-30","2.93143244175161","0.74","0.132","1.79329438290511e-25","ANOS1"
"175","2.92190549013672e-30","1.99942208290577","0.904","0.249","1.7995139342105e-25","MEGF10"
"176","3.62485678303221e-30","3.0765346986472","0.973","0.461","2.23244054696605e-25","MYO10"
"177","6.75488185644195e-30","3.008120239451","0.959","0.557","4.1601290889269e-25","MSI2"
"178","1.17665723493603e-29","2.26804474348565","1","0.969","7.24667891280055e-25","MACF1"
"179","1.30150609832976e-29","5.22781488556553","0.438","0.028","8.01558560778348e-25","SLC7A10"
"180","1.33420400255282e-29","2.8244199726516","0.918","0.341","8.21696219052208e-25","METTL7A"
"181","1.33689090136101e-29","5.7298801260091","0.452","0.031","8.23350999421208e-25","AL109809.4"
"182","1.67136862232033e-29","3.13434522016637","0.425","0.023","1.02934579342842e-24","AL138957.1"
"183","1.67577205642682e-29","3.00614675761816","0.712","0.13","1.03205773639158e-24","PLSCR4"
"184","1.80313966391133e-29","4.05121676154388","0.521","0.053","1.11049962481307e-24","ANGPTL4"
"185","1.84429861397866e-29","3.41720367313655","0.986","0.611","1.13584818739104e-24","AHCYL1"
"186","1.84857321282291e-29","2.5232419583232","0.973","0.44","1.13848078458125e-24","EZR"
"187","2.04412511809046e-29","3.98689357036747","0.712","0.135","1.25891533647837e-24","NQO1"
"188","2.74130398305297e-29","3.75197831578659","0.575","0.074","1.68828688404283e-24","NULL"
"189","2.79640703192306e-29","3.23122351772879","1","0.527","1.72222319875046e-24","ASPH"
"190","3.31621785445152e-29","2.06894521707243","0.493","0.041","2.04235909002106e-24","GNA14-AS1"
"191","3.7731646794046e-29","3.96903352094787","0.603","0.081","2.32377893110491e-24","ADORA2B"
"192","5.46049439403991e-29","2.85813303037848","0.712","0.132","3.36295468245736e-24","TLR4"
"193","6.53321154407232e-29","2.85610114628388","0.74","0.158","4.02360899364782e-24","RAPGEF3"
"194","7.84778810734715e-29","2.87279766587405","0.932","0.293","4.83321726167189e-24","CYP4V2"
"195","8.42371951199235e-29","2.30242233391291","1","0.858","5.18791613585073e-24","C1orf61"
"196","9.74312344719137e-29","3.79276756123131","0.63","0.102","6.00049743742175e-24","PPP1R3C"
"197","9.88064278402505e-29","2.57295801010225","0.986","0.499","6.08519147139751e-24","ACSL6"
"198","1.11852356402456e-28","3.89863508799468","0.616","0.089","6.88865107375803e-24","FAM198B-AS1"
"199","1.1261994936528e-28","4.2132523464792","0.699","0.137","6.93592482155948e-24","NWD1"
"200","1.2180659454334e-28","3.19387269031798","0.836","0.224","7.50170273814068e-24","IQCA1"
"201","1.55532099001002e-28","2.4056176938758","0.795","0.188","9.57875538117473e-24","CHRDL1"
"202","1.6804460088342e-28","4.08418903785504","0.521","0.053","1.03493628346072e-23","VAC14-AS1"
"203","1.73263891997539e-28","4.28719981660151","0.589","0.087","1.06708033164525e-23","AC007666.1"
"204","2.0594023322271e-28","4.23423093769148","0.452","0.033","1.2683241143487e-23","AL117335.1"
