"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
1.37505140602506e-07,0.549154571623676,0.188,0.039,0.00846852909428654,"PRC1-AS1"
1.39128732718678e-07,0.469502885870838,0.706,0.448,0.00856852126194522,"CUL4B"
1.3951908796722e-07,0.848680067484679,0.144,0.02,0.00859256207063718,"MOAP1"
1.39682840644681e-07,0.287389834176241,0.369,0.154,0.00860264710678395,"RNF227"
1.40347841310409e-07,1.15495754679362,0.425,0.199,0.00864360250278417,"MLX"
1.40774473501251e-07,0.658942655257202,0.388,0.16,0.00866987749952153,"SLC35G2"
1.40792966985929e-07,0.410257382416823,0.75,0.458,0.0086710164577624,"MRPL51"
1.41448989008237e-07,2.22149491765852,0.262,0.088,0.0087114188860503,"OBSCN"
1.41576436866657e-07,2.78650892988472,0.188,0.042,0.00871926801730678,"AP001273.1"
1.42010799727228e-07,1.02536543299385,0.556,0.31,0.00874601912280078,"PRKD1"
1.42263233579704e-07,1.68401367588643,0.238,0.069,0.00876156576647322,"CDHR1"
1.42633474874185e-07,0.366032549389684,0.475,0.222,0.00878436781707642,"CDKN2AIPNL"
1.44767927494613e-07,0.485804158406156,0.731,0.471,0.00891582235061074,"BLOC1S2"
1.44828215982865e-07,0.259860283477987,0.512,0.271,0.0089195353377367,"RNF217"
1.46394346423322e-07,0.645024436492285,0.456,0.216,0.00901598861317311,"PIGH"
1.46967913443818e-07,0.655407660779967,0.906,0.699,0.00905131288526443,"UPF3A"
1.48692253385079e-07,0.284547163027471,0.775,0.529,0.00915750980922684,"FUT9"
1.49409083817669e-07,-3.06247089828305,0.175,0.395,0.00920165724507876,"SFT2D2"
1.50501226719624e-07,3.26807690160697,0.15,0.023,0.00926891904998151,"AC010857.1"
1.51465408637353e-07,0.496034321726967,0.456,0.216,0.00932830012174863,"NSMCE2"
1.51548046581318e-07,0.29041092120316,0.606,0.34,0.00933338954480362,"SLC35A3"
1.52447922080507e-07,1.55337387750703,0.269,0.088,0.0093888101771722,"RAB11FIP5"
1.53957694995701e-07,0.349925102837605,0.494,0.245,0.00948179256170024,"IFT80"
1.55212408269677e-07,0.413656844048301,0.562,0.288,0.00955906658810461,"NDUFS6"
1.55479276464063e-07,0.361487910409977,0.456,0.209,0.00957550219959225,"LIG4"
1.56285888643395e-07,1.87457733743581,0.225,0.062,0.00962517902388076,"AC087741.1"
1.56835859023587e-07,0.594152423014492,0.656,0.389,0.00965905004968566,"DIDO1"
1.57387065565044e-07,0.416351932852489,0.35,0.137,0.00969299720695439,"YARS2"
1.58350682500579e-07,0.672718108231474,0.7,0.448,0.00975234348316315,"TIPRL"
1.58672307751262e-07,0.318486922530991,0.756,0.48,0.00977215141747698,"ZFC3H1"
1.60248961951577e-07,0.487131029647477,0.9,0.69,0.00986925281971178,"FTO"
1.60751974740049e-07,0.438742693167082,0.256,0.078,0.0099002318683154,"AC074194.2"
1.60929060844928e-07,-3.20443053246396,0.388,0.542,0.00991113807025657,"RFTN2"
1.61016699795954e-07,-1.24711642832164,0.613,0.31,0.00991653549033342,"SEPT4"
1.61291342145344e-07,-0.331348260764809,0.388,0.157,0.00993344988870527,"HNRNPUL2"
1.62174316522614e-07,0.911312475161537,1,1,0.00998782963167824,"MT-ATP6"
1.63994306814009e-07,-0.75528101668321,0.169,0.029,0.0100999173737544,"ATP1B1P1"
1.64741540385504e-07,0.410597546081519,0.594,0.34,0.010145937247722,"WARS"
1.64914596428485e-07,2.21935697798196,0.156,0.026,0.0101565952502411,"SIDT1-AS1"
1.65101623547093e-07,0.253155100707573,0.588,0.33,0.0101681136893948,"SPAG7"
1.65147769528862e-07,0.448573774399143,0.25,0.075,0.010170955681974,"SCN4B"
1.6544755557087e-07,-0.487253788047998,0.275,0.092,0.0101894186049432,"DCTD"
1.65780189424753e-07,0.719084421036834,0.606,0.359,0.0102099045261023,"ITGB1BP1"
1.65843979216871e-07,0.731941433029895,0.269,0.085,0.0102138331480295,"AC068587.4"
1.66135463895052e-07,0.300135542237532,0.875,0.641,0.0102317848149046,"ECPAS"
1.66482327243679e-07,1.01843292083559,0.275,0.092,0.0102531470879565,"RAP1GAP2"
1.70324089330942e-07,0.311122983317547,0.65,0.392,0.0104897496896247,"MED6"
1.7272297548754e-07,1.18470810237792,0.644,0.454,0.0106374898913511,"AKIRIN2"
1.73409000718644e-07,-0.517849815583438,0.85,0.536,0.0106797401272591,"ARID5B"
1.73869073752555e-07,2.26966630142209,0.156,0.026,0.0107080746451986,"AKAIN1"
1.74095519961993e-07,-0.253850528921582,0.762,0.493,0.0107220207878993,"SLC24A2"
1.76092283474984e-07,2.60678204660154,0.2,0.049,0.0108449954623738,"SELENOO"
1.76924733694028e-07,2.31282430822292,0.212,0.056,0.0108962635740141,"ARFRP1"
1.77359836703294e-07,-0.725610132284389,0.344,0.127,0.0109230602630458,"GOLGA5"
1.79094095706234e-07,1.01277702285232,0.438,0.212,0.0110298680722598,"NDUFAF1"
1.81238993718701e-07,0.456561221325095,0.55,0.288,0.0111619659061536,"IFT122"
1.81723539799792e-07,0.37407714197905,0.331,0.124,0.0111918076456498,"CYTH3"
1.8180513229276e-07,1.07946321346153,0.288,0.098,0.0111968326825142,"STAMBPL1"
1.83012830974956e-07,0.345203265113758,0.756,0.48,0.0112712112212546,"EDEM3"
1.83748508867964e-07,-0.636194279958024,0.706,0.444,0.0113165194156513,"CUL1"
1.84121741728561e-07,-0.355329375137094,0.769,0.418,0.0113395057078369,"SNX2"
1.85258244680154e-07,-0.440687363937711,0.869,0.621,0.0114094995151167,"ATXN1"
1.85899871060066e-07,0.416225339399651,0.8,0.533,0.0114490153589763,"HSD17B4"
1.86259520594395e-07,0.89108855595205,0.344,0.137,0.011471165094847,"TM7SF2"
1.86569888686738e-07,1.12238137955308,0.144,0.02,0.0114902797345501,"SLC7A4"
1.86587755362453e-07,0.759509407264021,0.55,0.301,0.0114913800895074,"NRBP1"
1.87442913515886e-07,1.48964568507341,0.225,0.062,0.0115440467147029,"AC098826.2"
1.87995359548902e-07,-0.265081974748157,0.6,0.34,0.0115780702085382,"ACADSB"
1.89667933237942e-07,1.09976349923875,0.375,0.154,0.0116810790043251,"C22orf39"
1.90845217353897e-07,0.376612360865664,0.881,0.618,0.0117535844011745,"AEBP2"
1.91203006259148e-07,0.36823705851522,0.975,0.856,0.0117756195464821,"PJA2"
1.92625485033827e-07,1.26935049082897,0.2,0.049,0.0118632257467783,"LINC02371"
1.9335723393767e-07,0.771488388404886,0.581,0.35,0.0119082919665193,"CUEDC2"
1.94036874273258e-07,0.80598539398025,0.481,0.225,0.0119501489758671,"GTF2H3"
1.94830923503594e-07,-1.96259337033225,0.713,0.794,0.0119990520858158,"RPLP0"
1.95642383821345e-07,1.96997500543384,0.344,0.147,0.0120490274924052,"ADAMTS6"
1.95722971148157e-07,0.487560967379101,0.594,0.346,0.0120539906241016,"ARCN1"
1.95962685776483e-07,-3.99990059308423,0.013,0.18,0.0120687539289163,"VSIR"
1.96652757994645e-07,1.22055825532554,0.4,0.18,0.0121112534066162,"WDR54"
1.99731837633218e-07,1.94818774260353,0.25,0.078,0.012300884684317,"MID2"
2.00800850686583e-07,0.84395447321742,0.319,0.121,0.0123667219912346,"JAGN1"
2.01061016808851e-07,1.00106169858305,0.475,0.229,0.0123827448422067,"VPS4A"
2.02462590555465e-07,-3.83196262408724,0.094,0.284,0.0124690635645394,"AC008957.2"
2.02858350211294e-07,1.39299074980168,0.244,0.075,0.0124934372144629,"NULL"
2.03643566112291e-07,-0.649424340320963,0.156,0.026,0.0125417963061577,"AC025048.6"
2.05250403973179e-07,-3.8524072807578,0.044,0.229,0.0126407566294962,"IGF2BP2"
2.08160619517835e-07,0.967048782848757,0.481,0.275,0.0128199880742449,"NAPA"
2.107726742973e-07,2.37680061693142,0.312,0.124,0.0129808566919478,"IQSEC2"
2.11776390750208e-07,-0.47991466828797,0.762,0.441,0.013042672577133,"USP32"
2.12853013419496e-07,-0.275135585692322,0.537,0.275,0.0131089785374665,"EIF2AK3"
2.13025276565842e-07,2.60456299456675,0.106,0.007,0.0131195877078605,"LINC01905"
2.1412480109088e-07,1.56812134948469,0.394,0.18,0.013187304124784,"SCAP"
2.14815526728503e-07,1.18244623111593,0.362,0.15,0.0132298438446283,"BRF1"
2.16183250103556e-07,1.93599166501418,0.162,0.029,0.0133140778241277,"CCNA1"
2.1741880036915e-07,0.322062436411513,0.394,0.18,0.0133901716583348,"EFCAB2"
2.19070149027843e-07,-3.73645788150151,0.2,0.399,0.0134918732681778,"SLA"
2.19579430384809e-07,0.391890317701955,0.494,0.245,0.0135232383791092,"SLC25A11"
2.19697675333221e-07,0.351905819800697,0.494,0.239,0.0135305207307471,"STOML2"
2.22265532146125e-07,0.625414844491314,0.575,0.333,0.0136886673282834,"BUD23"
2.23553335483705e-07,1.52822323655202,0.219,0.062,0.013767979272435,"P3H2"
2.24464902718005e-07,0.806782237484918,0.519,0.278,0.0138241199636938,"GTF3C3"
2.25369326733926e-07,1.45010450311151,0.344,0.141,0.0138798207255623,"PVT1"
2.26654757353801e-07,0.465117878634359,0.369,0.163,0.0139589865411486,"ARHGAP26-IT1"
2.26765377581637e-07,2.57953268597664,0.181,0.042,0.0139657993091203,"SYNPR-AS1"
2.28020209101222e-07,1.95020664253202,0.106,0.007,0.014043080617917,"AC008652.1"
2.28493582253371e-07,0.464676631172777,0.238,0.069,0.0140722342502383,"PPP1R37"
2.28794244499552e-07,0.725364907460078,0.656,0.448,0.0140907511359939,"ICE1"
2.29280152542654e-07,1.27020365824352,0.225,0.062,0.0141206767546445,"UBXN11"
2.29469444509546e-07,1.36496338038372,0.188,0.042,0.0141323346790094,"CHRM2"
2.32215032184015e-07,1.48843703984223,0.312,0.127,0.0143014271871169,"ADRA1A"
2.33828680920675e-07,0.321077782210283,0.45,0.216,0.0144008069718616,"PXYLP1"
2.35836374643776e-07,0.901602542543793,0.288,0.098,0.0145244548051862,"MRPS26"
2.36378676538994e-07,1.71954596481182,0.219,0.059,0.014557853552007,"AC080100.1"
2.37001106727843e-07,0.273932519802278,0.681,0.392,0.0145961871600477,"RYK"
2.37458027645795e-07,-0.314569778449643,0.537,0.281,0.0146243275486216,"SUPV3L1"
2.3758128662987e-07,0.519800127363414,0.7,0.464,0.0146319186996738,"MTMR4"
2.38776404086744e-07,1.35326452220055,0.331,0.131,0.0147055223984903,"NULL"
2.40760501966912e-07,0.263028079504159,0.5,0.255,0.0148277170346362,"ABHD6"
2.4169533457963e-07,0.827505314373787,0.256,0.078,0.0148852905707557,"HHLA3"
2.4278859919546e-07,0.431499807714592,0.631,0.373,0.0149526214586508,"WASL"
2.4339015152269e-07,-1.08843773410536,0.494,0.239,0.0149896692618279,"SERPING1"
2.43535019437364e-07,0.755616846767547,0.969,0.928,0.0149985912420889,"GAPDH"
2.45768922999343e-07,0.640305532086499,0.512,0.268,0.0151361706607606,"KRBOX4"
2.46626171333108e-07,0.574854838455468,0.569,0.314,0.0151889660138921,"GNAZ"
2.47612933056971e-07,0.508770793728484,0.231,0.062,0.0152497377081797,"NR2F6"
2.4805308211958e-07,0.592931329659076,0.556,0.31,0.0152768451684985,"POLE3"
2.48535758995561e-07,0.5984308686912,0.488,0.252,0.0153065717892596,"RABL2B"
2.48939016767535e-07,1.16972723549123,0.325,0.127,0.0153314072256622,"ANXA6"
2.49484091269978e-07,0.713379948311922,0.594,0.34,0.0153649767290442,"CINP"
2.507041952227e-07,1.24089574077922,0.5,0.258,0.0154401192711804,"HOMER2"
2.50918684592029e-07,0.751118592043185,0.419,0.193,0.0154533290279693,"AC127024.4"
2.50988177191079e-07,1.30765890341602,0.181,0.039,0.015457608868667,"PANX2"
2.5153986725624e-07,1.21180768453818,0.412,0.196,0.01549158580471,"METTL8"
2.520919142291e-07,1.10877245351107,0.394,0.186,0.0155255847216276,"NUDT11"
2.52440852605393e-07,1.39934780530695,0.106,0.007,0.0155470747894083,"SLC27A6"
2.56905786953245e-07,0.458508835458494,0.381,0.157,0.0158220567010895,"TCAF1"
2.59576388017881e-07,0.562847403095833,0.238,0.072,0.0159865310088572,"MON1A"
2.60764165470691e-07,0.712619715840007,0.65,0.425,0.0160596826588435,"SF3B3"
2.61641904516425e-07,0.432643970785709,0.175,0.036,0.016113739973453,"INAFM1"
2.62555279517697e-07,0.336812745102542,0.531,0.288,0.0161699919996564,"ERCC6"
2.64646299739394e-07,1.06104085651563,0.206,0.052,0.0162987716620501,"SYS1-DBNDD2"
2.67275725718695e-07,1.03314534039557,0.506,0.255,0.0164607101198373,"SLC25A23"
2.67317017333024e-07,0.333436519635766,0.925,0.683,0.0164632531464889,"RALGAPA1"
